                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                 0.3033,                0.28551,                0.97912,                0.82021,                0.79169,                 0.7975,                0.61961,                 1.0729,                 1.3518,                 0.8435,               0.006667,               0.006667,               0.006667
                    104,                0.29492,                 0.2798,                0.97833,                 0.8149,                0.78914,                 0.7974,                0.63276,                 1.0606,                 1.3249,                0.84076,               0.006634,               0.006634,               0.006634
                    105,                0.30051,                0.28376,                0.97914,                0.80194,                 0.7965,                0.79454,                0.62368,                 1.0524,                 1.3198,                0.84545,               0.006601,               0.006601,               0.006601
                    106,                0.29818,                0.29204,                0.97231,                0.81584,                0.79188,                0.80423,                0.66333,                 1.0322,                 1.3871,                0.82705,               0.006568,               0.006568,               0.006568
                    107,                0.29467,                 0.2861,                0.97487,                0.81323,                0.79138,                0.79199,                0.65677,                 1.0765,                 1.3771,                0.86216,               0.006535,               0.006535,               0.006535
                    108,                0.29497,                0.28344,                0.97182,                0.82822,                0.78707,                0.79333,                0.63264,                 1.0599,                 1.3966,                0.84058,               0.006502,               0.006502,               0.006502
                    109,                0.29862,                0.28726,                0.98308,                0.79628,                0.81664,                  0.806,                0.66046,                 1.0496,                 1.2823,                0.84813,               0.006469,               0.006469,               0.006469
                    110,                0.29065,                0.28176,                0.97346,                0.83714,                0.78749,                 0.8047,                0.63134,                 1.0458,                 1.3213,                0.82899,               0.006436,               0.006436,               0.006436
                    111,                0.29341,                0.28733,                0.97944,                0.80969,                 0.7931,                0.79764,                0.64161,                  1.027,                 1.3735,                0.82206,               0.006403,               0.006403,               0.006403
                    112,                0.29253,                0.27449,                0.97139,                0.83051,                0.79837,                0.80231,                0.65447,                 1.0288,                  1.207,                0.81723,                0.00637,                0.00637,                0.00637
                    113,                0.29697,                0.27891,                0.97527,                0.83333,                0.77109,                0.80391,                0.67805,                  1.038,                 1.2919,                  0.833,               0.006337,               0.006337,               0.006337
                    114,                0.29121,                0.27597,                0.98246,                0.80916,                0.79863,                0.80051,                0.63602,                 1.0178,                 1.2769,                0.81186,               0.006304,               0.006304,               0.006304
                    115,                0.29946,                0.28607,                0.97743,                0.82532,                 0.7941,                0.80135,                0.62698,                 1.0436,                 1.3837,                0.83347,               0.006271,               0.006271,               0.006271
                    116,                0.29721,                0.27321,                0.97931,                 0.8075,                0.79439,                0.80039,                0.62906,                  1.061,                 1.3257,                0.84429,               0.006238,               0.006238,               0.006238
                    117,                0.29017,                0.27052,                0.97848,                0.79624,                0.81721,                0.79971,                0.65731,                 1.0321,                  1.321,                0.83061,               0.006205,               0.006205,               0.006205
                    118,                0.28976,                0.27485,                0.97997,                0.79576,                0.81447,                0.80242,                0.66846,                 1.0723,                 1.3916,                0.84247,               0.006172,               0.006172,               0.006172
                    119,                0.28812,                0.26987,                0.97597,                0.83961,                0.77847,                0.79702,                0.66084,                 1.0942,                 1.3671,                0.86859,               0.006139,               0.006139,               0.006139
                    120,                0.28843,                0.26808,                0.97461,                0.84634,                0.78388,                0.81055,                0.66488,                 1.0369,                 1.3572,                0.82664,               0.006106,               0.006106,               0.006106
                    121,                0.29383,                0.27418,                0.97219,                0.80455,                0.79679,                0.80257,                 0.6667,                 1.0246,                 1.3169,                0.82797,               0.006073,               0.006073,               0.006073
                    122,                0.28742,                0.26691,                0.96758,                0.86465,                0.77267,                0.81482,                 0.6739,                 1.0348,                 1.3164,                0.81888,                0.00604,                0.00604,                0.00604
                    123,                0.28177,                0.26735,                0.96939,                0.79947,                   0.83,                0.81089,                0.66587,                 1.0542,                 1.3941,                 0.8451,               0.006007,               0.006007,               0.006007
                    124,                0.28379,                0.26899,                0.96747,                0.81589,                0.78862,                0.79681,                0.63783,                 1.0547,                 1.3766,                0.84101,               0.005974,               0.005974,               0.005974
                    125,                0.28827,                0.26546,                0.97426,                0.84614,                0.79098,                0.79327,                0.65345,                  1.058,                 1.3646,                0.85052,               0.005941,               0.005941,               0.005941
                    126,                0.28785,                 0.2678,                0.97205,                0.81392,                 0.8056,                0.80906,                 0.6587,                 1.0507,                 1.3154,                0.83351,               0.005908,               0.005908,               0.005908
                    127,                0.28896,                0.26353,                0.96761,                0.80676,                0.81443,                 0.8105,                0.67919,                 1.0246,                 1.3324,                0.82562,               0.005875,               0.005875,               0.005875
                    128,                0.28265,                0.26224,                0.97369,                0.81465,                0.79507,                0.80761,                0.68178,                 1.0379,                  1.352,                0.83124,               0.005842,               0.005842,               0.005842
                    129,                0.28531,                0.26521,                0.97027,                0.81311,                0.81153,                0.80061,                0.68149,                 1.0249,                 1.3412,                0.81166,               0.005809,               0.005809,               0.005809
                    130,                0.28462,                0.26872,                0.97059,                0.83682,                0.78941,                0.80863,                0.65437,                 1.0424,                 1.4096,                0.83172,               0.005776,               0.005776,               0.005776
                    131,                0.27777,                0.26008,                 0.9636,                0.82975,                0.78258,                0.80567,                0.64678,                  1.052,                 1.3983,                0.84119,               0.005743,               0.005743,               0.005743
                    132,                0.28573,                0.26121,                0.96898,                0.82833,                0.78769,                0.79626,                0.64238,                  1.064,                 1.3069,                0.84466,                0.00571,                0.00571,                0.00571
                    133,                0.27767,                0.25345,                0.96928,                0.79932,                0.81734,                0.81081,                 0.6609,                 1.0609,                 1.4105,                0.84076,               0.005677,               0.005677,               0.005677
                    134,                  0.278,                0.24867,                0.95756,                0.82402,                0.80414,                0.81311,                0.66278,                 1.0264,                 1.3679,                0.80923,               0.005644,               0.005644,               0.005644
                    135,                0.27845,                0.24408,                0.96435,                0.84533,                0.79941,                0.81504,                0.68264,                  1.045,                 1.3372,                0.82727,               0.005611,               0.005611,               0.005611
                    136,                0.28135,                0.25039,                0.96654,                0.83424,                0.79323,                0.80102,                0.62863,                 1.0338,                 1.3487,                0.81655,               0.005578,               0.005578,               0.005578
                    137,                0.28029,                0.25176,                0.96821,                0.83936,                 0.8065,                0.81408,                0.66052,                 1.0613,                 1.3563,                 0.8442,               0.005545,               0.005545,               0.005545
                    138,                0.27656,                0.25617,                0.96448,                 0.8177,                0.81721,                0.81166,                0.65896,                 1.0305,                  1.308,                0.82039,               0.005512,               0.005512,               0.005512
                    139,                0.27724,                0.24761,                0.96668,                0.81724,                0.80916,                0.81273,                 0.6525,                 1.0213,                 1.2912,                0.81838,               0.005479,               0.005479,               0.005479
                    140,                0.27645,                0.25008,                0.97079,                0.84475,                0.80417,                0.80972,                 0.6513,                 1.0089,                 1.2469,                0.80929,               0.005446,               0.005446,               0.005446
                    141,                0.27285,                0.24834,                0.96327,                 0.8466,                0.80219,                0.81319,                  0.655,                  1.015,                 1.2784,                0.80727,               0.005413,               0.005413,               0.005413
                    142,                0.28175,                0.24839,                0.97175,                0.83184,                0.79217,                0.80926,                0.64441,                 1.0033,                 1.3034,                0.80852,                0.00538,                0.00538,                0.00538
                    143,                0.27454,                 0.2428,                0.96733,                0.83452,                 0.7822,                0.80838,                0.64983,                 1.0269,                 1.3153,                0.82575,               0.005347,               0.005347,               0.005347
                    144,                0.27258,                0.24402,                0.95775,                0.83985,                0.78927,                0.81074,                0.62155,                 1.0268,                 1.3259,                0.82503,               0.005314,               0.005314,               0.005314
                    145,                0.27357,                0.25328,                0.96625,                0.84194,                0.80772,                  0.814,                0.68553,                 1.0537,                 1.3012,                0.84643,               0.005281,               0.005281,               0.005281
                    146,                0.27377,                0.24295,                0.95921,                0.83986,                0.78572,                0.80356,                 0.6551,                 1.0335,                 1.4063,                0.82998,               0.005248,               0.005248,               0.005248
                    147,                0.27567,                0.24442,                0.97078,                0.84923,                0.78941,                0.80507,                0.64069,                 1.0361,                 1.4071,                0.83254,               0.005215,               0.005215,               0.005215
                    148,                0.26929,                0.24378,                0.95849,                0.84041,                0.79494,                0.81193,                0.64695,                 1.0402,                 1.3764,                0.83447,               0.005182,               0.005182,               0.005182
                    149,                0.27081,                0.23662,                0.96715,                0.85881,                0.78664,                0.81987,                 0.6903,                 1.0563,                 1.3818,                0.84223,               0.005149,               0.005149,               0.005149
                    150,                0.27162,                0.23936,                 0.9629,                0.85869,                0.80202,                  0.819,                0.68746,                 1.0351,                 1.3599,                0.83107,               0.005116,               0.005116,               0.005116
                    151,                0.27302,                 0.2449,                 0.9605,                0.84239,                0.80601,                0.80937,                0.65927,                 1.0337,                 1.3762,                 0.8309,               0.005083,               0.005083,               0.005083
                    152,                0.27109,                0.23612,                0.95728,                 0.8058,                0.82077,                0.80816,                0.67081,                 1.0202,                 1.3462,                0.81563,                0.00505,                0.00505,                0.00505
                    153,                0.27313,                0.23889,                  0.959,                0.84385,                0.79494,                0.81287,                0.67801,                  1.027,                 1.3743,                0.82616,               0.005017,               0.005017,               0.005017
                    154,                0.26958,                0.23319,                0.95653,                0.83081,                0.80232,                0.81737,                0.64679,                 1.0297,                 1.3839,                0.81395,               0.004984,               0.004984,               0.004984
                    155,                0.26844,                0.22923,                 0.9597,                0.84088,                0.81352,                0.81528,                 0.6402,                  1.041,                 1.3798,                0.82539,               0.004951,               0.004951,               0.004951
                    156,                0.26888,                0.23336,                0.96345,                0.86472,                0.80983,                0.82133,                0.63607,                 1.0336,                 1.3736,                0.81915,               0.004918,               0.004918,               0.004918
                    157,                0.26082,                0.23488,                0.95238,                0.84515,                0.81261,                0.82875,                0.68061,                  1.028,                 1.3799,                0.82281,               0.004885,               0.004885,               0.004885
                    158,                0.26619,                0.23202,                0.95535,                0.86771,                0.80671,                0.82599,                0.66493,                 1.0511,                 1.3372,                0.83593,               0.004852,               0.004852,               0.004852
